LAMMPS data file via write_data, version 19 Nov 2024, timestep = 3863676, units = real

11909 atoms
4 atom types

0 56.069815 xlo xhi
0 56.069814 ylo yhi
0 156.018935 zlo zhi

Masses

1 12.011
2 1.008
3 14.007
4 15.999

Atoms # charge/kk

10998 2 0.03146005816604609 27.581795 1.071135 3.544176 0 0 0
10999 2 0.03137619845858859 27.245006 2.819768 3.944912 0 0 0
11000 1 0.1873038948206658 28.000729 2.024581 4.098641 0 0 0
11002 4 -0.4462530253876908 29.293978 2.489236 3.382671 0 0 0
11003 1 -0.01570518438847908 30.878002 2.169676 5.30763 0 0 0
11004 1 -0.02845183351032908 32.126116 2.063986 5.845821 0 0 0
11005 2 0.02808128580368709 31.963421 6.671796 5.565563 0 0 0
11006 2 0.01725591343465785 34.037868 5.233289 5.253911 0 0 0
11007 2 0.008847733645706256 33.022891 2.349185 5.278708 0 0 0
11008 1 -0.05908611364846272 31.550024 5.722388 5.900046 0 0 0
11009 2 0.03140318378110366 31.392313 5.073553 5.014029 0 0 0
11012 1 0.008587179488366027 28.362172 1.763974 5.570074 0 0 0
11013 1 0.05739907466210312 29.681234 1.754991 6.165621 0 0 0
11014 2 0.01144626822295064 31.39839 1.818633 3.171786 0 0 0
11015 2 0.01242901610620117 31.140449 3.566032 3.666953 0 0 0
11016 1 0.1921147702007541 30.790829 2.515708 3.786432 0 0 0
11017 1 -0.02625352157278361 33.907371 4.963905 6.255611 0 0 0
11020 2 0.07071999570136281 36.47594 4.958865 5.666506 0 0 0
11021 2 0.06668717343453585 41.100958 5.17277 6.352062 0 0 0
11022 2 -0.004843968568534847 42.551257 6.131056 5.891755 0 0 0
11024 4 -0.4210424167598132 44.478757 6.645611 6.162759 0 0 0
11025 4 -0.4522614935616951 49.738042 5.828076 3.605311 0 0 0
11026 2 0.1073190037527084 49.963055 6.190042 6.082179 0 0 0
11027 1 0.250969889978517 49.458081 5.957109 2.131981 0 0 0
11028 2 0.06042365689061392 9.643983 7.351303 2.297889 0 0 0
11030 4 -0.2339114834677559 7.415502 8.109425 0.873519 0 0 0
11031 2 0.108384654330673 8.920072 13.503236 3.604238 0 0 0
11032 1 0.02876247636110081 13.870827 13.557493 2.844294 0 0 0
11033 4 -0.5259070983834273 12.780472 13.173767 6.477145 0 0 0
11034 1 0.02837727217428209 10.276445 12.587115 2.263313 0 0 0
11035 1 -0.01238858389639462 12.694104 13.162146 2.200674 0 0 0
11036 2 0.04065160747731246 8.39956 11.485235 0.748715 0 0 0
11037 1 0.05133792001857736 10.285392 8.877079 0.753351 0 0 0
11038 1 -0.02023366134056513 10.297687 12.43206 0.813933 0 0 0
11039 1 -0.008974034590091417 10.032038 9.820762 4.318592 0 0 0
11040 1 0.01299347878316733 11.077342 9.734282 5.392527 0 0 0
11041 1 0.0006769176802397844 9.932874 8.365184 2.15323 0 0 0
11042 1 0.002809969098194784 9.98914 9.095537 3.233624 0 0 0
11043 2 0.06450369512278589 9.150005 10.448417 4.44357 0 0 0
11044 1 0.003537153939211025 12.54643 9.775535 5.176818 0 0 0
11045 1 -0.00778286300961843 12.630201 9.477062 1.360947 0 0 0
11046 1 -0.03204869136173176 11.463239 13.011389 2.926098 0 0 0
11047 1 -0.0003110087885294965 12.711368 13.159031 0.796051 0 0 0
11048 4 -0.5519391506855524 10.208561 12.856711 5.077097 0 0 0
11049 1 0.1825805021385964 11.556498 12.993948 4.340504 0 0 0
11050 1 -0.04678970534288936 8.866157 12.671603 2.856826 0 0 0
