LAMMPS data file via write_data, version 19 Nov 2024, timestep = 3880000, units = real

12647 atoms
4 atom types

0 56.53285 xlo xhi
0 156.51956 ylo yhi
0 56.53285 zlo zhi

Masses

1 12.011
2 1.008
3 14.007
4 15.999

Atoms # charge/kk

1 2 0.04116235015465293 16.326838 0.417304 4.979356 0 0 0
2 2 -0.008759358924401949 15.622682 2.266684 6.129689 0 0 0
3 4 -0.6631214388737062 17.626739 3.283965 6.152518 0 0 0
4 1 -0.01672231819755484 17.075025 0.169686 5.78964 0 0 0
5 1 0.2436916440279912 16.137179 3.243069 6.260623 0 0 0
6 4 -0.4257350922224001 17.539933 1.280931 0.818909 0 0 0
7 1 0.3471156783642486 17.57598 2.51644 0.987959 0 0 0
8 2 0.02035322637260279 17.019775 2.994047 1.85343 0 0 0
9 4 -0.5069194691802351 17.564625 5.264426 1.222555 0 0 0
10 2 0.05808824468984185 18.315529 2.225912 3.24727 0 0 0
11 1 0.2944207664406295 18.480948 4.698245 0.249295 0 0 0
12 2 0.04940400653418661 14.542163 5.721103 2.88116 0 0 0
13 1 -0.1557838930860809 18.409337 3.342465 0.008228 0 0 0
12381 2 0.06943607901034228 14.503952733425198 4.36254060689116 0.20980358575005534 0 0 1
14 4 -0.4829637377576441 25.022962 4.437617 6.227899 0 0 0
15 2 0.0704266335744302 18.91443 4.461847 4.249375 0 0 0
16 2 0.06650181358905934 19.010696 1.810956 4.84339 0 0 0
17 1 0.002788090504292601 24.180562 1.935452 6.206738 0 0 0
18 1 -0.031001615884564 20.486634 0.228875 3.614588 0 0 0
19 1 0.2670892978002929 22.401805 1.178327 1.768794 0 0 0
20 2 0.1176540030535389 23.84309 2.426456 5.267121 0 0 0
21 2 0.07967348496527969 23.014773 2.584566 0.225128 0 0 0
22 1 -0.05798303574006376 20.704444 3.854557 5.153235 0 0 0
23 2 0.06729143062041414 20.18077 3.479148 6.051522 0 0 0
24 1 -0.01597549111003456 24.148862 0.762108 0.199582 0 0 0
25 1 0.242822307085416 20.35706 1.482278 3.157455 0 0 0
26 2 0.02085776036555992 20.850385 0.988375 6.147894 0 0 0
27 1 -0.07280545901038085 19.222657 2.285417 3.848862 0 0 0
