C400_000 slab -z

12647 atoms
4 atom types

0.000000 56.532850 xlo xhi
0.000000 56.532850 ylo yhi
0.000000 156.520934 zlo zhi

Masses

1 12.011
2 1.008
3 14.007
4 15.999

Atoms # charge

1 2 0.040623 16.326838 0.429376 51.549806
2 2 -0.008688 15.622682 2.278757 50.399473
3 4 -0.664000 17.626739 3.296038 50.376644
4 1 -0.064247 17.075025 0.181759 50.739523
5 1 0.243578 16.137179 3.255142 50.268539
6 4 -0.430855 17.539933 1.293003 55.710253
7 1 0.363451 17.575980 2.528513 55.541203
8 2 0.029471 17.019775 3.006120 54.675732
9 4 -0.489800 17.564625 5.276499 55.306607
10 2 0.053645 18.315529 2.237985 53.281892
11 1 0.297015 18.480948 4.710317 56.279867
12 2 0.064622 14.542163 5.733176 53.648002
13 1 -0.152014 18.409337 3.354538 56.520934
14 4 -0.485305 25.022962 4.449689 50.301263
15 2 0.069166 18.914430 4.473920 52.279787
16 2 0.067022 19.010696 1.823029 51.685772
17 1 0.018744 24.180562 1.947524 50.322424
18 1 -0.070063 20.486634 0.240948 52.914574
19 1 0.290614 22.401805 1.190400 54.760368
20 2 0.128254 23.843090 2.438528 51.262041
21 2 0.077989 23.014773 2.596638 56.304035
22 1 -0.058266 20.704444 3.866629 51.375927
23 2 0.068984 20.180770 3.491221 50.477640
24 1 -0.046390 24.148862 0.774181 56.329580
25 1 0.257804 20.357060 1.494351 53.371707
26 2 0.036292 20.850385 1.000448 50.381268
27 1 -0.076473 19.222657 2.297489 52.680301
28 2 -0.050358 21.245372 5.385142 54.283299
29 2 0.057993 20.226075 4.107361 53.564449
30 1 0.577284 22.212077 5.485021 53.670328
31 1 -0.006288 19.722152 3.812664 52.584513
32 2 0.072409 21.500997 3.178942 51.716511
33 2 0.120198 20.975365 4.914487 51.180830
34 1 -0.007218 23.175953 1.607522 55.837443
35 4 -0.446462 23.219108 4.829013 53.950903
36 4 -0.513309 21.313490 2.129348 54.325666
37 2 0.062955 24.943746 6.139237 51.729447
38 1 0.294532 25.267141 5.823595 50.715577
39 4 -0.531588 31.334959 1.376516 50.460977
40 1 0.007423 28.249460 3.567038 50.588679
41 1 0.629965 29.524909 0.344580 52.469726
42 4 -0.537147 25.762453 1.293648 53.290631
43 2 -0.033946 28.530746 0.655891 52.965507
44 2 -0.014523 26.150346 2.279743 54.933815
45 1 -0.060069 27.666921 1.556535 50.873562
46 4 -0.528555 28.463620 3.964774 55.547754
47 1 0.415518 29.911667 1.840412 55.118582
48 2 0.022817 28.163579 5.592510 54.241843
49 4 -0.644923 27.248146 3.336545 53.200177
50 2 0.334150 28.089765 3.334590 53.734392
51 4 -0.531757 30.314401 5.224780 54.369681
52 2 0.041433 29.506422 2.384653 54.181766
53 4 -0.558723 30.735099 1.202854 52.841040
54 2 0.104291 27.142755 0.756302 51.393870
55 1 0.620925 26.386830 2.146963 53.866051
56 1 0.440567 28.904363 5.306054 55.068974
57 1 0.229108 27.731215 2.794294 51.513139
58 4 -0.467709 29.045352 1.307202 55.805516
59 2 0.126148 25.882016 5.477594 56.142758
60 2 0.067887 26.775100 2.951870 56.318400
61 1 -0.059084 31.393086 1.878062 55.527807
62 2 0.093225 35.290264 0.028457 51.835535
63 2 0.010479 35.604726 0.323283 53.695938
64 2 0.033266 31.765457 4.392862 52.529302
65 1 0.336734 32.001745 1.911060 53.136420
66 1 -0.051434 32.307314 2.073372 54.446173
67 1 0.513878 32.267121 5.429655 52.312991
68 1 -0.000294 36.860837 5.051541 50.733394
69 1 0.028829 35.004372 3.499333 51.441136
70 1 0.340391 32.597326 2.041491 50.805023
71 4 -0.553656 33.770779 5.393641 52.516209
72 1 0.258000 34.036141 5.761577 53.924014
73 1 -0.118292 32.924563 2.224435 52.114303
74 1 0.041643 34.217586 2.870561 52.410689
75 1 -0.000980 33.714578 2.570663 54.840114
76 1 -0.007662 34.638910 2.835898 53.761839
77 1 0.019893 36.208958 4.180377 51.706349
78 1 -0.012986 35.981678 3.468473 54.111837
79 1 0.013921 36.592219 4.363349 53.064556
80 1 0.015115 36.495240 3.670107 55.397882
81 1 0.015787 33.812526 2.660213 56.196422
82 4 -0.643745 31.933408 5.726351 50.898344
83 1 -0.046187 37.542857 4.410543 55.896806
84 2 0.359345 32.765008 6.010786 50.528173
85 1 -0.001410 33.955388 6.168483 56.200422
86 1 0.240761 39.949159 5.957236 56.430990
87 1 -0.008180 37.702441 5.204344 53.474141
88 1 0.004349 37.884119 5.947789 51.181907
89 1 0.032473 38.236891 5.154320 54.811473
90 1 0.005497 38.413840 5.955410 52.472331
91 1 -0.054993 39.391981 5.940430 55.098737
92 2 0.076558 12.541074 12.523109 56.384766
93 1 -0.072816 13.584315 12.169859 56.518067
94 2 0.032450 12.776660 11.935072 53.892283
95 1 0.015995 17.983564 8.058453 52.790904
96 4 -0.525308 15.614694 9.533482 51.080306
97 1 0.287986 16.065993 9.211233 52.433763
98 1 0.009610 18.605474 7.207302 53.815845
99 2 0.046864 18.608475 10.539043 55.112864
100 2 0.079647 18.064572 10.572515 51.412882
101 1 0.213352 15.791440 6.963716 52.622365
102 1 0.072633 15.970989 9.742290 54.933683
103 4 -0.460862 15.276709 6.577831 51.267457
104 4 -0.452056 15.440000 7.271693 54.953516
105 1 -0.014949 18.151438 9.912684 55.970898
106 1 0.220672 16.835289 7.693688 55.415578
107 1 -0.068097 17.037031 8.991831 55.519110
108 1 -0.050565 15.512151 9.841676 53.568343
109 1 -0.022818 13.629311 11.254951 54.208761
110 2 0.056492 17.139719 7.200928 50.633435
111 1 0.030370 18.497734 9.717068 50.933280
112 1 -0.113909 16.603761 8.051750 52.687262
113 1 0.151108 17.997048 6.761546 55.294944
114 1 0.024839 14.342892 10.621966 53.260507
115 1 -0.011584 15.409223 10.743290 55.732776
116 2 0.073187 13.902303 10.636649 52.277491
117 1 0.027519 14.148205 11.385423 55.509920
118 1 0.217657 15.338255 6.471746 53.715625
119 4 -0.518586 22.117301 6.387500 52.488560
120 1 0.538063 22.123570 10.171524 53.361501
121 2 0.087862 20.933228 8.602550 50.721703
122 1 0.280796 23.952490 12.301733 51.368668
123 4 -0.505232 22.119922 10.695257 52.034555
124 1 -0.014877 20.319783 8.164636 51.572545
125 2 -0.013979 23.049856 9.935029 53.931957
126 2 0.096925 22.973851 8.472105 50.966181
127 2 0.018639 24.279691 10.221073 52.000573
128 2 0.327250 20.278392 10.585918 53.611997
