C700_000 slab -x

10582 atoms
4 atom types

0.000000 153.159306 xlo xhi
0.000000 56.144225 ylo yhi
0.000000 56.144226 zlo zhi

Masses

1 12.011
2 1.008
3 14.007
4 15.999

Atoms # charge

1 2 0.030456 35.841831 3.442144 5.754027
2 2 0.026767 37.957723 4.814909 5.744393
3 1 -0.016919 35.435476 4.214173 6.389360
4 1 0.000501 37.613289 5.468941 6.554155
5 1 0.025700 36.198157 5.312548 6.876205
6 2 0.029611 39.508144 6.275156 6.946138
7 2 0.027464 33.637555 2.417498 5.564199
8 2 0.035866 29.695797 5.370674 5.579213
9 1 -0.020128 29.601783 6.229899 6.281448
10 2 0.051632 32.069969 6.140971 5.141197
11 2 0.022602 31.595870 0.810925 6.252058
12 1 -0.021069 33.245771 3.080545 6.315748
13 2 0.020185 27.690009 4.489158 6.449900
14 1 -0.019012 31.258991 1.610845 6.832527
15 1 0.006176 34.093990 4.115353 6.791501
16 1 0.004341 32.023041 2.840276 6.990969
17 1 -0.010814 31.899924 6.985223 5.863857
18 2 0.011882 34.749021 9.774584 6.605466
19 2 0.027306 35.877207 13.742300 4.497480
20 1 -0.000641 29.049311 12.905541 6.742366
21 2 0.021093 34.045126 12.452598 3.545912
22 2 0.023747 33.860368 7.682099 5.515588
23 4 -0.439516 31.011228 7.170096 2.574705
24 2 0.059385 28.739562 7.199930 3.724554
25 1 0.008840 30.639934 7.173738 6.506645
26 1 0.002948 33.813519 13.778035 5.267174
27 1 0.006251 28.663477 13.554575 3.027735
28 1 -0.032337 33.408175 12.731981 4.375019
29 1 -0.011089 29.851520 13.496247 2.201063
30 1 0.314643 31.099091 8.342569 2.962713
31 1 0.005009 32.710454 9.136898 6.763490
32 1 0.010049 28.870234 8.247800 4.134862
33 1 0.014360 27.638467 12.566758 2.963261
34 1 0.004542 30.412014 10.293621 4.307142
35 1 -0.004653 31.646354 13.879501 6.448173
36 2 0.022624 30.024935 12.728503 1.427833
37 2 0.017166 32.227819 10.505474 3.123485
38 2 0.001208 32.017987 8.926138 2.544700
39 1 -0.031891 31.684711 10.930409 3.946855
40 1 0.003607 32.125956 12.101707 4.607771
41 1 -0.018713 32.950384 7.876170 6.018191
42 1 -0.007397 31.283755 12.698640 5.737742
43 1 -0.004395 29.960904 12.163824 5.832975
44 1 -0.048137 30.019204 8.984477 3.860383
45 1 0.000616 29.513124 10.944736 5.232229
46 1 0.002041 28.324648 10.179081 5.676613
47 2 0.023649 28.795596 11.371906 1.360487
48 1 -0.000288 27.925828 8.788840 5.050132
49 1 -0.007955 27.878658 11.415040 2.084886
50 1 -0.000104 27.375618 10.468285 6.584506
51 2 0.029775 27.123637 9.504226 1.511605
52 4 -0.519958 20.515958 12.385804 3.943799
53 2 0.020137 26.338723 7.118765 4.870534
54 1 0.005178 26.327701 13.538778 4.796974
55 1 -0.013267 27.038489 10.346124 2.161461
56 1 -0.014764 23.814093 9.201782 3.803490
57 1 0.003060 23.595928 10.349014 4.643451
58 2 0.030041 23.106417 8.353876 3.836940
59 1 0.014990 22.437772 10.407847 5.471684
60 2 0.008903 21.492567 13.150631 2.254202
61 1 0.002420 25.671847 11.382477 3.876864
62 1 0.004100 25.159906 13.589332 5.582381
63 1 -0.044831 20.469712 9.337262 6.489762
64 1 -0.024477 24.611324 8.145986 6.831438
65 1 0.001909 24.256480 12.520899 5.548740
66 2 0.022095 24.269154 7.266601 6.221662
67 1 0.016934 26.510418 12.532726 3.882183
68 1 0.005412 25.869722 10.208268 3.019459
69 2 0.021390 25.081876 8.222919 2.365968
